#长期数据集，每小时统计一次，并且：,,
,,
# max_sum_non_zero：48小时内（过去48小时）涨幅前10的新币的累计涨幅之和。,,
# min_sum_non_zero：48小时内（过去48小时）跌幅前10的新币的累计跌幅之和,,
,max_sum_non_zero,min_sum_non_zero
fudu_549,3.59%,-273.20%
fudu_550,30.13%,-213.18%
fudu_551,13.73%,-198.45%
fudu_552,29.32%,-203.28%
fudu_553,33.04%,-210.14%
fudu_554,13.13%,-221.73%
fudu_555,0.70%,-255.54%
fudu_556,-7.91%,-293.38%
fudu_557,-5.17%,-286.62%
fudu_558,16.42%,-190.04%
fudu_559,15.26%,-210.92%
fudu_560,21.21%,-198.61%
fudu_561,12.80%,-231.27%
fudu_562,8.69%,-207.83%
fudu_563,3.85%,-218.44%
fudu_564,8.04%,-222.80%
fudu_565,5.58%,-203.29%
fudu_566,14.61%,-210.65%
fudu_567,13.66%,-197.44%
fudu_568,17.50%,-224.57%
fudu_569,13.89%,-233.24%
fudu_570,22.39%,-255.52%
fudu_571,19.08%,-230.26%
fudu_572,10.90%,-255.76%
fudu_573,17.24%,-222.35%
fudu_574,7.15%,-235.47%
fudu_575,12.52%,-236.16%
fudu_576,28.97%,-256.13%
fudu_577,28.15%,-255.05%
fudu_578,14.32%,-289.33%
fudu_579,18.15%,-272.21%
fudu_580,3.86%,-285.36%
fudu_581,14.92%,-255.00%
fudu_582,8.94%,-246.15%
fudu_583,-3.57%,-269.23%
fudu_584,15.60%,-214.16%
fudu_585,21.49%,-203.10%
fudu_586,23.19%,-192.12%
fudu_587,40.73%,-163.47%
fudu_588,44.34%,-145.14%
fudu_589,54.54%,-123.50%
fudu_590,58.10%,-116.44%
fudu_591,85.65%,-76.84%
fudu_592,114.93%,-63.58%
fudu_593,115.47%,-65.79%
fudu_594,108.05%,-67.50%
fudu_595,124.41%,-58.10%
fudu_596,127.43%,-57.76%
fudu_597,80.15%,-92.26%
fudu_598,58.71%,-105.04%
fudu_599,23.92%,-139.78%
fudu_600,34.42%,-133.65%
fudu_601,54.88%,-110.57%
fudu_602,59.72%,-102.91%
fudu_603,88.98%,-83.79%
fudu_604,97.60%,-72.61%
fudu_605,69.67%,-102.00%
fudu_606,77.68%,-81.79%
fudu_607,88.59%,-87.26%
fudu_608,62.66%,-93.66%
fudu_609,52.08%,-105.24%
fudu_610,63.83%,-106.31%
fudu_611,60.64%,-99.73%
fudu_612,47.98%,-103.16%
fudu_613,50.56%,-100.51%
fudu_614,57.21%,-101.26%
fudu_615,71.08%,-75.74%
fudu_616,61.96%,-75.32%
fudu_617,76.89%,-76.26%
fudu_618,79.63%,-75.52%
fudu_619,90.81%,-66.55%
fudu_620,91.86%,-66.71%
fudu_621,105.84%,-51.50%
fudu_622,88.63%,-61.68%
fudu_623,99.28%,-58.72%
fudu_624,111.15%,-52.64%
fudu_625,130.58%,-45.10%
fudu_626,144.35%,-49.76%
fudu_627,144.27%,-41.90%
fudu_628,122.51%,-39.66%
fudu_629,143.24%,-25.53%
fudu_630,146.81%,-25.18%
fudu_631,154.21%,-37.37%
fudu_632,149.97%,-37.07%
fudu_633,141.79%,-40.59%
fudu_634,133.88%,-52.19%
fudu_635,123.61%,-64.88%
fudu_636,107.89%,-76.95%
fudu_637,102.23%,-82.49%
fudu_638,91.00%,-113.99%
fudu_639,89.93%,-144.73%
fudu_640,85.53%,-141.51%
fudu_641,90.32%,-171.46%
fudu_642,90.86%,-174.18%
fudu_643,97.89%,-179.28%
fudu_644,102.72%,-180.24%
fudu_645,130.38%,-132.41%
fudu_646,133.65%,-114.75%
fudu_647,139.34%,-127.82%
fudu_648,114.20%,-141.42%
fudu_649,140.22%,-113.66%
fudu_650,120.62%,-143.69%
fudu_651,96.33%,-186.08%
fudu_652,67.61%,-234.33%
fudu_653,66.44%,-243.09%
fudu_654,64.87%,-246.09%
fudu_655,68.37%,-224.33%
fudu_656,74.77%,-219.26%
fudu_657,66.36%,-207.36%
fudu_658,67.81%,-192.69%
fudu_659,73.96%,-171.62%
fudu_660,60.75%,-196.86%
fudu_661,58.37%,-199.06%
fudu_662,61.38%,-191.82%
fudu_663,62.60%,-178.53%
fudu_664,53.13%,-196.44%
fudu_665,46.48%,-207.22%
fudu_666,31.80%,-222.16%
fudu_667,22.53%,-243.17%
fudu_668,19.40%,-259.40%
fudu_669,36.29%,-220.88%
fudu_670,32.33%,-227.59%
fudu_671,15.40%,-266.40%
fudu_672,17.73%,-258.88%
fudu_673,11.88%,-272.38%
fudu_674,5.43%,-274.48%
fudu_675,15.13%,-256.24%
fudu_676,0.29%,-273.46%
fudu_677,-2.08%,-265.79%
fudu_678,-4.18%,-257.42%
fudu_679,-4.35%,-260.85%
fudu_680,-8.51%,-252.81%
fudu_681,-5.78%,-252.90%
fudu_682,3.07%,-239.44%
fudu_683,7.20%,-216.30%
fudu_684,-5.64%,-214.61%
fudu_685,-7.01%,-213.30%
fudu_686,-4.33%,-196.50%
fudu_687,-1.65%,-196.52%
fudu_688,-7.48%,-184.20%
fudu_689,-4.93%,-187.68%
fudu_690,-9.96%,-192.24%
fudu_691,-15.86%,-200.26%
fudu_692,-32.64%,-243.84%
fudu_693,-39.94%,-250.52%
fudu_694,-45.38%,-253.27%
fudu_695,-25.56%,-201.56%
fudu_696,-37.42%,-225.08%
fudu_697,-41.77%,-223.05%
fudu_698,-36.17%,-238.63%
fudu_699,-26.48%,-226.25%
fudu_700,-53.03%,-271.35%
fudu_701,-42.32%,-240.81%
fudu_702,-41.15%,-235.88%
fudu_703,-39.76%,-237.13%
fudu_704,-39.43%,-235.59%
fudu_705,-42.44%,-235.64%
fudu_706,-57.18%,-268.15%
fudu_707,-79.04%,-339.74%
fudu_708,-64.79%,-338.71%
fudu_709,-55.61%,-320.46%
fudu_710,-65.29%,-347.44%
fudu_711,-44.20%,-302.23%
fudu_712,-32.27%,-289.74%
fudu_713,-6.82%,-261.02%
fudu_714,-8.90%,-250.90%
fudu_715,-7.68%,-242.83%
fudu_716,-6.80%,-232.28%
fudu_717,-15.00%,-249.81%
fudu_718,-10.26%,-249.80%
fudu_719,2.14%,-245.63%
fudu_720,25.94%,-223.45%
fudu_721,68.60%,-169.61%
fudu_722,54.41%,-186.27%
fudu_723,70.85%,-170.30%
fudu_724,98.93%,-149.62%
fudu_725,112.19%,-136.64%
fudu_726,95.59%,-142.19%
fudu_727,136.88%,-106.86%
fudu_728,141.98%,-111.46%
fudu_729,131.01%,-115.46%
fudu_730,108.04%,-128.64%
fudu_731,128.88%,-117.49%
fudu_732,128.49%,-122.09%
fudu_733,107.27%,-138.07%
fudu_734,97.95%,-148.57%
fudu_735,66.36%,-187.77%
fudu_736,80.71%,-166.15%
fudu_737,69.33%,-190.16%
fudu_738,58.56%,-191.43%
fudu_739,74.41%,-184.39%
fudu_740,106.41%,-156.05%
fudu_741,134.56%,-144.84%
fudu_742,125.08%,-161.85%
fudu_743,123.43%,-168.07%
fudu_744,160.70%,-143.67%
fudu_745,182.86%,-117.71%
fudu_746,177.87%,-104.62%
fudu_747,200.91%,-73.22%
fudu_748,168.43%,-76.80%
fudu_749,148.08%,-90.50%
fudu_750,137.42%,-86.88%
fudu_751,121.93%,-101.85%
fudu_752,136.77%,-85.57%
fudu_753,158.54%,-51.70%
fudu_754,217.22%,13.22%
fudu_755,224.91%,3.08%
fudu_756,206.02%,-3.34%
fudu_757,213.19%,2.63%
fudu_758,184.98%,-15.69%
fudu_759,202.76%,-16.85%
fudu_760,155.91%,-45.93%
fudu_761,171.29%,-33.37%
fudu_762,164.59%,-36.63%
fudu_763,135.13%,-54.94%
fudu_764,165.67%,-34.69%
fudu_765,177.59%,-25.41%
fudu_766,157.47%,-32.49%
